year_month,country_names_HM,alpha_3_code,geoname_id_final,cv19_category_final,cv19_quality_final,id_curated
2021-06-01,India,IND,1270770,Medicines,Falsified,1086758
2021-05-01,India,IND,1267701,Medicines,Falsified,1062671
2021-05-01,India,IND,1278629,Medicines,Falsified,1106884
2020-02-01,India,IND,1254788,Medicines,Substandard,455388
2020-09-01,India,IND,1276988,Vaccines,Falsified,742841
2020-03-01,India,IND,1259229,Sanitisers & disinfectants,Falsified,483978
2021-05-01,India,IND,1270260,Medicines,Diverted/Unregistered,1048893
2021-06-01,India,IND,1259223,Medicines,Falsified,1105491
2020-03-01,India,IND,10896943,Sanitisers & disinfectants,Falsified,493688
2021-05-01,India,IND,1265869,Medicines,Diverted/Unregistered,1071414
2021-05-01,India,IND,1255053,Medicines,Diverted/Unregistered,1086409
2021-06-01,India,IND,1278149,Medicines,Falsified,1086758
2021-08-01,India,IND,1269750,Ventilation & oxygenation equipment and consumables,Falsified,1172925
2021-05-01,India,IND,1279233,Medicines,Falsified,1082548
2021-05-01,India,IND,1267701,Medicines,Diverted/Unregistered,1062671
2020-08-01,India,IND,1279259,Medicines,Diverted/Unregistered,678201
2021-06-01,India,IND,9072781,Medicines,Falsified,1117967
2020-03-01,India,IND,1264418,Sanitisers & disinfectants,Falsified,504810
2021-08-01,India,IND,1259229,Medicines,Diverted/Unregistered,1185560
2021-06-01,India,IND,1273780,Medicines,Falsified,1095707
2020-09-01,India,IND,7279746,Diagnostics,Falsified,746390
2021-05-01,India,IND,1445654,Medicines,Falsified,1050679
2020-02-01,India,IND,1267254,Medicines,Substandard,455388
2021-06-01,India,IND,6954929,Medicines,Falsified,1091779
2020-06-01,India,IND,7701427,Personal Protective Equipment,Substandard,594003
2020-02-01,India,IND,1255053,Medicines,Substandard,455388
2020-08-01,India,IND,1279233,Personal Protective Equipment,Falsified,682741
2021-06-01,India,IND,1264418,Medicines,Falsified,1086758
2020-03-01,India,IND,1270644,Sanitisers & disinfectants,Falsified,483776
2021-06-01,India,IND,1267701,Medicines,Falsified,1086758
2020-06-01,India,IND,1273294,Sanitisers & disinfectants,Substandard or Falsified,622830
2021-05-01,India,IND,1267995,Medicines,Falsified,1070852
2020-08-01,India,IND,1278629,Sanitisers & disinfectants,Falsified,685390
2020-07-01,India,IND,7626690,Personal Protective Equipment,Substandard,651029
2021-05-01,India,IND,1261481,Medicines,Falsified,1086629
2020-09-01,India,IND,1273865,Personal Protective Equipment,Substandard,715991
2021-04-01,India,IND,1258342,Medicines,Falsified,1038869
2021-08-01,India,IND,1269750,Medicines,Substandard,1177368
2021-05-01,India,IND,1261481,Personal Protective Equipment,Falsified,1086629
2020-03-01,India,IND,1269843,Sanitisers & disinfectants,Falsified,489274
2021-06-01,India,IND,1255349,Medicines,Falsified,1093374
2021-12-01,India,IND,1269750,Sanitisers & disinfectants,Substandard or Falsified,1313442
2021-04-01,India,IND,1261258,Medicines,Falsified,1041847
2020-05-01,India,IND,1270770,Ventilation & oxygenation equipment and consumables,Falsified,575647
2020-12-01,India,IND,1262083,Medicines,Substandard,848258
2021-08-01,India,IND,1261500,Vaccines,Diverted/Unregistered,1183740
2022-01-01,India,IND,1269750,Medicines,Substandard,1377176
2021-07-01,India,IND,1262180,Medicines,Substandard,1156719
